PDBID	Ligand
1vrz.A	ACT
1ai0.B	IPH
1ai0.D	IPH
1ai0.E	IPH
1ai0.G	IPH
1ai0.J	IPH
1ai0.L	IPH
1aiy.B	IPH
1aiy.D	IPH
1aiy.F	IPH
1aiy.H	IPH
1aiy.J	IPH
1aiy.L	IPH
1aph.B	DCE
1b17.B	SO4
1b18.B	SO4
1b19.B	SO4
1b2a.B	SO4
1b2b.B	SO4
1b2c.B	SO4
1b2d.B	SO4
1b2e.B	SO4
1ben.C	HBD
1bph.B	DCE
1cjr.A	SO4
1cph.B	DCE
1cq4.B	SO4
1d8d.P	ACT
1dph.B	DCE
1dpj.B	SO4
1ev3.A	CRS
1ev3.C	CRS
1ev6.A	CRS
1ev6.C	CRS
1ev6.E	CRS
1ev6.G	CRS
1ev6.I	CRS
1ev6.K	CRS
1evr.A	RCO
1evr.B	RCO
1evr.C	RCO
1evr.E	RCO
1evr.G	RCO
1evr.I	RCO
1evr.K	RCO
1g7a.G	GOL
1g7b.G	GOL
1gmd.E	HEX
1guj.A	SO4
1guj.D	SO4
1hqj.B	SO4
1hqj.C	SO4
1hqj.F	SO4
1hqj.I	SO4
1iju.A	SO4
1iju.B	SO4
1iju.C	SO4
1iju.D	SO4
1ijv.A	SO4
1ijv.B	SO4
1jmt.B	HEZ
1lph.C	IPH
1lu0.A	GOL
1lu0.B	SO4
1mpj.A	IPH
1oxg.B	SO4
1qiy.A	IPH
1qiy.C	IPH
1qiy.E	IPH
1qiy.G	IPH
1qiy.I	IPH
1qiy.K	IPH
1qiz.A	RCO
1qiz.C	RCO
1qiz.E	RCO
1qiz.G	RCO
1qiz.I	RCO
1qiz.K	RCO
1rwe.C	IPH
1smh.B	BU3
1ssa.B	SO4
1ssb.B	SO4
1tyl.C	TYL
1tym.C	TYL
1uo4.B	PIH
1uz9.A	CRS
1w7z.B	FMT
1w7z.D	FMT
1w7z.F	FMT
1w8p.A	IPH
1w8p.C	IPH
1w8p.E	IPH
1w8p.G	IPH
1w8p.I	IPH
1w8p.K	IPH
1wav.A	IPH
1wav.C	IPH
1wav.F	IPH
1wav.G	IPH
1wav.H	IPH
1wav.J	IPH
1xh5.B	BU3
1xw7.A	IPH
1xw7.C	IPH
1yrf.A	SO4
1yri.A	ACT
1yyp.B	SO4
1zeg.A	IPH
1zeg.C	IPH
1zeh.A	CRS
1zeh.C	CRS
1zgx.B	SO4
1zmp.A	SO4
1zmp.B	SO4
1zmp.C	SO4
1zmp.D	SO4
1znj.A	IPH
1znj.C	IPH
1znj.E	IPH
1znj.G	IPH
1znj.I	IPH
1znj.K	IPH
1zv8.H	ACT
2aiy.A	IPH
2aiy.C	IPH
2aiy.E	IPH
2aiy.G	IPH
2aiy.I	IPH
